نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,تجاري وسكني,حريملاء,الرياض,جنوبية,2340,1350.0,3159000
أرض,تجاري وسكني,الرياض,الرياض,شمالية,437,2350.0,1026950
أرض,تجاري وسكني,الرياض,الرياض,شمالية غربية,582,2350.0,1367700
أرض,تجاري وسكني,الرياض,الرياض,غربية,900,2350.0,2115000
أرض,تجاري وسكني,الرياض,الياسمين,جنوبية,1500,6667.0,10000500
أرض,سكني,الرياض,القدس,جنوبية,500,4100.0,2050000
أرض,سكني,الرياض,عرقة,شمالية,536,6000.0,3216000
أرض,سكني,الرياض,القيروان,غربية,450,6000.0,2700000
أرض,سكني,الرياض,المهدية,شمالية,536,2600.0,1393600
أرض,سكني,الرياض,الرياض,شمالية,450,2600.0,1170000
أرض,سكني,الرياض,الرياض,شمالية,2394,1000.0,2394000
أرض,سكني,الرياض,بدر,غير معروف,7861,993.0,7805973
أرض,سكني,الرياض,الخليج,شمالية غربية,600,2600.0,1560000
أرض,سكني,الرياض,حطين,جنوبية غربية,1200,10000.0,12000000
أرض,سكني,الرياض,بدر,جنوبية غربية,1200,10000.0,12000000
أرض,سكني,الرياض,النرجس,غربية,1800,10000.0,18000000
أرض,سكني,الرياض,الرياض,جنوبية,900,10000.0,9000000
أرض,سكني,حريملاء,الرياض,جنوبية,420,10000.0,4200000
أرض,سكني,حريملاء,الرياض,جنوبية,375,10000.0,3750000
أرض,سكني,حريملاء,الرياض,شمالية,375,10000.0,3750000
أرض,سكني,حريملاء,الرياض,غربية,2100,10000.0,21000000
أرض,سكني,الرياض,المونسية,شمالية,621,10000.0,6210000
أرض,سكني,الرياض,المهدية,شمالية,450,3000.0,1350000
أرض,سكني,الرياض,ظهرة لبن,غربية,900,2000.0,1800000
أرض,سكني,الرياض,الرمال,شمالية شرقية,580,2000.0,1160000
أرض,سكني,الرياض,الرياض,جنوبية,750,2000.0,1500000
أرض,سكني,الجبيلة,عقرباء,شمالية غربية,500,2460.0,1230000
أرض,سكني,الرياض,السلام,غربية,360,3339.0,1202040
أرض,سكني,الرياض,النرجس,جنوبية,333,3339.0,1111887
أرض,سكني,الرياض,النرجس,جنوبية,333,3339.0,1111887
أرض,سكني,الرياض,اليرموك,شمالية,4350,6000.0,26100000
أرض,سكني,حريملاء,الرياض,شمالية,630,6000.0,3780000
أرض,سكني,الرياض,الندوة,شرقية,1200,3000.0,3600000
أرض,سكني,العيينة,الوادي,شرقية,625,3000.0,1875000
أرض,سكني,الرياض,الرياض,شمالية,930,3000.0,2790000
أرض,سكني,الرياض,النرجس,جنوبية غربية,900,4000.0,3600000
أرض,سكني,الرياض,شارع السلطان محمد الفاتح,شمالية,692,6400.0,4428800
أرض,سكني,الرياض,ظهرة لبن,جنوبية غربية,1400,6400.0,8960000
أرض,سكني,حريملاء,الرياض,شمالية,375,6400.0,2400000
